161	168	185	141	130	127	138	165
165	131	120	131	158	146	120	115
144	130	94	106	144	156	101	33
134	128	53	39	84	154	142	76
148	113	31	37	83	143	162	147
150	127	89	98	116	131	147	165
151	146	142	122	129	140	158	182
166	148	157	141	162	161	150	157
143	134	153	134	135	142	153	143
156	152	145	141	143	130	113	140
52	96	120	107	60	71	106	177
8	30	101	117	46	42	69	87
105	76	132	148	96	75	144	206
169	149	165	164	170	137	146	184
156	187	206	187	182	170	161	184
199	177	171	180	173	202	201	202
131	152	151	143	154	156	152	165
155	139	112	115	154	183	151	79
141	102	85	121	131	117	102	54
165	139	95	97	107	118	130	92
176	173	134	128	148	152	152	137
159	172	174	178	183	157	142	168
176	187	198	167	171	200	181	170
173	162	210	204	192	206	178	168
163	173	147	163	198	160	161	164
89	138	152	145	123	76	127	180
57	103	142	155	132	79	101	117
75	89	114	123	114	102	150	169
123	124	151	163	160	145	163	152
172	147	153	165	190	196	197	170
187	173	177	164	168	166	173	167
185	176	179	158	163	167	181	188
101	107	113	114	111	108	107	109
100	105	111	112	109	106	106	108
98	103	109	109	106	103	104	106
96	101	106	106	103	101	102	104
96	100	104	104	101	99	101	104
96	100	103	103	99	98	101	104
97	101	103	102	99	98	101	105
98	101	104	102	99	98	102	106
148	146	144	141	140	141	142	143
149	147	145	143	142	142	143	144
150	149	147	146	145	145	145	145
151	151	149	148	147	147	146	146
151	151	151	150	149	148	147	146
150	151	151	151	150	148	147	145
149	150	151	151	150	148	146	144
148	149	150	151	150	147	145	143
