00 1 2
01 2 2
100 3 3
1010 4 4
1011 17 4
1100 18 4
11010 5 5
11011 33 5
111000 0 6
111001 6 6
111010 19 6
111011 34 6
111100 49 6
1111010 7 7
1111011 65 7
11111000 20 8
11111001 35 8
11111010 50 8
11111011 81 8
111111000 8 9
111111001 97 9
111111010 113 9
1111110110 21 10
1111110111 66 10
1111111000 129 10
1111111001 145 10
1111111010 240 10
11111110110 36 11
11111110111 51 11
11111111000 82 11
11111111001 161 11
11111111010 177 11
11111111011 193 11
111111111000 9 12
111111111001 98 12
111111111010 209 12
111111111011 225 12
1111111111000 22 13
1111111111001 23 13
1111111111010 67 13
1111111111011 130 13
1111111111100 241 13
11111111111010 37 14
11111111111011 83 14
111111111111000 114 15
111111111111001 52 15
1111111111110100 146 16
1111111111110101 162 16
1111111111110110 178 16
1111111111110111 194 16
1111111111111000 226 16
1111111111111001 242 16
1111111111111010 53 16
1111111111111011 210 16
1111111111111100 24 16
1111111111111101 68 16
1111111111111110 99 16
