57
00 1 2
10 2 2
001 3 3
0101 4 4
1101 17 4
0011 18 4
01011 5 5
11011 33 5
000111 0 6
100111 6 6
010111 19 6
110111 34 6
001111 49 6
0101111 7 7
1101111 65 7
00011111 20 8
10011111 35 8
01011111 50 8
11011111 81 8
000111111 8 9
100111111 97 9
010111111 113 9
0110111111 21 10
1110111111 66 10
0001111111 129 10
1001111111 145 10
0101111111 240 10
01101111111 36 11
11101111111 51 11
00011111111 82 11
10011111111 161 11
01011111111 177 11
11011111111 193 11
000111111111 9 12
100111111111 98 12
010111111111 209 12
110111111111 225 12
0001111111111 22 13
1001111111111 23 13
0101111111111 67 13
1101111111111 130 13
0011111111111 241 13
01011111111111 37 14
11011111111111 83 14
000111111111111 114 15
100111111111111 52 15
0010111111111111 146 16
1010111111111111 162 16
0110111111111111 178 16
1110111111111111 194 16
0001111111111111 226 16
1001111111111111 242 16
0101111111111111 53 16
1101111111111111 210 16
0011111111111111 24 16
1011111111111111 68 16
0111111111111111 99 16
